menu_id,franchise_id,product_count,amount,sales_date
10,63,2,9000,2023-01-01
17,69,1,5800,2023-01-01
9,67,5,20000,2023-01-01
10,68,2,9000,2023-01-01
3,63,1,4500,2023-01-01
13,71,1,5500,2023-01-01
4,65,1,5000,2023-01-01
8,64,4,12000,2023-01-01
2,63,3,12000,2023-01-01
17,65,2,11600,2023-01-01
6,67,3,15000,2023-01-01
5,62,5,27500,2023-01-01
12,66,4,20800,2023-01-01
6,65,3,15000,2023-01-01
8,65,5,15000,2023-01-01
18,71,3,14100,2023-01-01
17,69,3,17400,2023-01-01
5,71,5,27500,2023-01-01
9,66,1,4000,2023-01-01
1,63,1,3000,2023-01-01
8,66,1,3000,2023-01-01
16,68,5,27500,2023-01-01
3,71,3,13500,2023-01-01
5,67,1,5500,2023-01-01
14,66,1,5000,2023-01-01
14,65,5,25000,2023-01-01
12,71,2,10400,2023-01-01
16,66,4,22000,2023-01-01
1,66,2,6000,2023-01-01
10,67,5,22500,2023-01-01
4,63,4,20000,2023-01-01
10,71,3,13500,2023-01-01
1,69,5,15000,2023-01-01
13,65,2,11000,2023-01-01
17,65,4,23200,2023-01-01
18,64,4,18800,2023-01-01
1,62,5,15000,2023-01-01
19,66,4,19200,2023-01-01
3,62,1,4500,2023-01-01
8,71,3,9000,2023-01-01
12,63,5,26000,2023-01-01
19,63,3,14400,2023-01-01
17,71,5,29000,2023-01-01
10,71,2,9000,2023-01-01
19,70,4,19200,2023-01-01
18,69,4,18800,2023-01-01
4,71,5,25000,2023-01-01
9,69,3,12000,2023-01-01
17,64,4,23200,2023-01-01
18,62,5,23500,2023-01-01
12,62,5,26000,2023-01-01
3,70,1,4500,2023-01-01
17,65,1,5800,2023-01-01
13,64,1,5500,2023-01-01
4,70,3,15000,2023-01-01
12,70,4,20800,2023-01-01
14,65,3,15000,2023-01-01
15,66,5,27500,2023-01-01
3,70,4,18000,2023-01-01
4,66,1,5000,2023-01-01
7,66,2,9000,2023-01-01
7,71,5,22500,2023-01-01
3,68,5,22500,2023-01-01
11,63,4,19200,2023-01-01
9,71,2,8000,2023-01-01
12,62,5,26000,2023-01-01
6,68,5,25000,2023-01-01
8,71,1,3000,2023-01-01
18,71,2,9400,2023-01-01
5,66,3,16500,2023-01-01
8,62,4,12000,2023-01-01
17,68,1,5800,2023-01-01
13,65,4,22000,2023-01-01
6,64,5,25000,2023-01-01
12,67,3,15600,2023-01-01
10,71,3,13500,2023-01-01
7,64,5,22500,2023-01-01
13,63,4,22000,2023-01-01
20,69,5,22500,2023-01-01
9,68,1,4000,2023-01-01
3,70,4,18000,2023-01-01
17,70,1,5800,2023-01-01
6,66,2,10000,2023-01-01
12,66,5,26000,2023-01-01
11,66,4,19200,2023-01-01
3,64,4,18000,2023-01-01
18,70,1,4700,2023-01-01
14,62,5,25000,2023-01-01
3,68,1,4500,2023-01-01
11,71,4,19200,2023-01-01
8,71,4,12000,2023-01-01
4,71,2,10000,2023-01-01
18,66,1,4700,2023-01-01
4,67,1,5000,2023-01-01
9,62,5,20000,2023-01-01
20,64,5,22500,2023-01-01
6,63,3,15000,2023-01-01
5,70,2,11000,2023-01-01
10,69,2,9000,2023-01-01
13,66,1,5500,2023-01-01
1,63,1,3000,2023-01-01
11,66,2,9600,2023-01-01
17,62,2,11600,2023-01-01
9,64,1,4000,2023-01-01
16,68,4,22000,2023-01-01
17,66,5,29000,2023-01-01
6,64,5,25000,2023-01-01
5,66,5,27500,2023-01-01
10,71,3,13500,2023-01-01
17,66,1,5800,2023-01-01
14,62,3,15000,2023-01-01
13,65,1,5500,2023-01-01
17,69,2,11600,2023-01-01
8,68,2,6000,2023-01-01
2,67,3,12000,2023-01-01
18,62,4,18800,2023-01-01
5,70,1,5500,2023-01-01
16,68,5,27500,2023-01-01
14,63,3,15000,2023-01-01
19,68,4,19200,2023-01-01
2,67,2,8000,2023-01-01
2,63,3,12000,2023-01-01
19,63,4,19200,2023-01-01
6,62,4,20000,2023-01-01
10,64,1,4500,2023-01-01
5,65,2,11000,2023-01-01
17,71,1,5800,2023-01-01
20,69,5,22500,2023-01-01
2,67,5,20000,2023-01-01
2,64,1,4000,2023-01-01
16,67,4,22000,2023-01-01
8,65,1,3000,2023-01-01
3,64,3,13500,2023-01-01
18,71,3,14100,2023-01-01
19,66,5,24000,2023-01-01
18,71,5,23500,2023-01-01
6,62,5,25000,2023-01-01
9,71,2,8000,2023-01-01
17,71,5,29000,2023-01-01
9,71,1,4000,2023-01-01
15,70,3,16500,2023-01-01
16,62,2,11000,2023-01-01
4,62,1,5000,2023-01-01
3,65,2,9000,2023-01-01
14,69,2,10000,2023-01-01
13,71,3,16500,2023-01-01
19,68,3,14400,2023-01-01
15,68,3,16500,2023-01-01
15,63,2,11000,2023-01-01
6,64,3,15000,2023-01-01
15,70,5,27500,2023-01-01
10,68,1,4500,2023-01-01
17,68,2,11600,2023-01-01
12,70,1,5200,2023-01-01
13,65,1,5500,2023-01-01
4,71,3,15000,2023-01-01
9,63,4,16000,2023-01-01
15,67,2,11000,2023-01-01
15,69,1,5500,2023-01-01
12,64,2,10400,2023-01-01
9,66,4,16000,2023-01-01
2,69,3,12000,2023-01-01
13,67,5,27500,2023-01-01
1,66,5,15000,2023-01-01
6,67,4,20000,2023-01-01
11,69,1,4800,2023-01-01
3,64,5,22500,2023-01-01
4,69,2,10000,2023-01-01
20,65,1,4500,2023-01-01
6,64,1,5000,2023-01-01
2,69,2,8000,2023-01-01
19,66,2,9600,2023-01-01
4,64,4,20000,2023-01-01
1,65,1,3000,2023-01-01
12,62,2,10400,2023-01-01
14,67,5,25000,2023-01-01
11,65,5,24000,2023-01-01
11,64,1,4800,2023-01-01
6,63,2,10000,2023-01-01
2,69,2,8000,2023-01-02
20,62,5,22500,2023-01-02
9,62,1,4000,2023-01-02
11,69,3,14400,2023-01-02
17,66,4,23200,2023-01-02
12,63,5,26000,2023-01-02
11,70,2,9600,2023-01-02
12,64,3,15600,2023-01-02
1,69,4,12000,2023-01-02
8,70,5,15000,2023-01-02
14,64,5,25000,2023-01-02
5,66,3,16500,2023-01-02
14,71,4,20000,2023-01-02
13,71,1,5500,2023-01-02
18,69,3,14100,2023-01-02
6,62,1,5000,2023-01-02
17,62,2,11600,2023-01-02
14,66,3,15000,2023-01-02
7,64,3,13500,2023-01-02
7,64,2,9000,2023-01-02
20,62,4,18000,2023-01-02
7,65,5,22500,2023-01-02
6,70,1,5000,2023-01-02
5,68,1,5500,2023-01-02
4,67,2,10000,2023-01-02
10,66,3,13500,2023-01-02
10,62,5,22500,2023-01-02
15,65,5,27500,2023-01-02
20,69,5,22500,2023-01-02
8,66,5,15000,2023-01-02
15,65,4,22000,2023-01-02
13,63,3,16500,2023-01-02
19,64,4,19200,2023-01-02
4,71,3,15000,2023-01-02
5,65,3,16500,2023-01-02
10,69,2,9000,2023-01-02
14,71,5,25000,2023-01-02
8,63,1,3000,2023-01-02
1,69,4,12000,2023-01-02
11,65,4,19200,2023-01-02
5,69,5,27500,2023-01-02
8,71,1,3000,2023-01-02
9,67,3,12000,2023-01-02
14,69,1,5000,2023-01-02
11,68,1,4800,2023-01-02
14,66,5,25000,2023-01-02
14,65,1,5000,2023-01-02
1,67,3,9000,2023-01-02
8,66,1,3000,2023-01-02
9,71,4,16000,2023-01-02
9,64,4,16000,2023-01-02
11,67,2,9600,2023-01-02
7,63,3,13500,2023-01-02
2,62,3,12000,2023-01-02
12,64,1,5200,2023-01-02
7,65,5,22500,2023-01-02
1,62,5,15000,2023-01-02
11,67,2,9600,2023-01-02
18,66,1,4700,2023-01-02
7,62,4,18000,2023-01-02
9,62,4,16000,2023-01-02
8,62,1,3000,2023-01-02
13,68,3,16500,2023-01-02
19,62,5,24000,2023-01-02
16,69,3,16500,2023-01-02
18,62,3,14100,2023-01-02
15,63,2,11000,2023-01-02
17,63,3,17400,2023-01-02
4,62,5,25000,2023-01-02
7,64,2,9000,2023-01-02
10,64,2,9000,2023-01-02
1,68,4,12000,2023-01-02
18,68,5,23500,2023-01-02
8,62,1,3000,2023-01-02
3,69,3,13500,2023-01-02
8,67,1,3000,2023-01-02
15,66,3,16500,2023-01-02
19,62,4,19200,2023-01-02
15,69,2,11000,2023-01-02
3,69,3,13500,2023-01-02
16,65,4,22000,2023-01-02
5,67,5,27500,2023-01-02
14,68,2,10000,2023-01-02
7,71,1,4500,2023-01-02
19,64,4,19200,2023-01-02
18,63,1,4700,2023-01-02
15,66,4,22000,2023-01-02
11,71,2,9600,2023-01-02
3,68,4,18000,2023-01-02
20,66,5,22500,2023-01-02
6,70,2,10000,2023-01-02
12,64,4,20800,2023-01-02
12,69,1,5200,2023-01-02
10,69,3,13500,2023-01-02
14,68,1,5000,2023-01-02
18,64,1,4700,2023-01-02
14,70,2,10000,2023-01-02
13,70,1,5500,2023-01-02
11,65,2,9600,2023-01-02
13,63,5,27500,2023-01-02
11,67,2,9600,2023-01-02
10,65,1,4500,2023-01-02
6,63,1,5000,2023-01-02
5,70,2,11000,2023-01-02
12,68,5,26000,2023-01-02
10,67,5,22500,2023-01-02
6,69,2,10000,2023-01-02
12,70,5,26000,2023-01-02
7,71,5,22500,2023-01-02
17,71,5,29000,2023-01-02
14,63,4,20000,2023-01-02
11,62,3,14400,2023-01-02
4,64,2,10000,2023-01-02
11,69,3,14400,2023-01-02
4,62,3,15000,2023-01-02
7,69,3,13500,2023-01-02
2,68,5,20000,2023-01-02
1,71,4,12000,2023-01-02
15,65,3,16500,2023-01-02
3,65,3,13500,2023-01-02
17,63,1,5800,2023-01-02
2,66,1,4000,2023-01-02
9,69,1,4000,2023-01-02
1,70,5,15000,2023-01-02
11,69,2,9600,2023-01-02
7,64,3,13500,2023-01-02
18,66,4,18800,2023-01-02
12,64,2,10400,2023-01-02
12,64,5,26000,2023-01-02
12,62,5,26000,2023-01-02
17,71,1,5800,2023-01-02
17,69,3,17400,2023-01-02
8,66,1,3000,2023-01-02
5,67,1,5500,2023-01-02
18,70,4,18800,2023-01-02
15,71,1,5500,2023-01-02
13,71,2,11000,2023-01-02
16,68,1,5500,2023-01-02
7,66,1,4500,2023-01-02
19,69,2,9600,2023-01-02
18,65,3,14100,2023-01-02
18,71,1,4700,2023-01-02
14,69,3,15000,2023-01-02
12,63,3,15600,2023-01-02
5,69,2,11000,2023-01-02
12,68,1,5200,2023-01-02
4,67,1,5000,2023-01-02
13,63,1,5500,2023-01-02
16,71,4,22000,2023-01-02
2,68,3,12000,2023-01-02
10,63,3,13500,2023-01-02
13,63,3,16500,2023-01-02
7,65,5,22500,2023-01-02
17,66,4,23200,2023-01-02
16,69,4,22000,2023-01-02
15,70,2,11000,2023-01-02
7,65,5,22500,2023-01-02
1,62,3,9000,2023-01-02
13,69,2,11000,2023-01-02
4,63,5,25000,2023-01-02
16,62,5,27500,2023-01-02
14,70,1,5000,2023-01-02
4,71,5,25000,2023-01-02
5,67,3,16500,2023-01-02
13,63,1,5500,2023-01-02
7,65,4,18000,2023-01-02
8,65,5,15000,2023-01-02
19,71,3,14400,2023-01-02
2,70,2,8000,2023-01-02
9,62,2,8000,2023-01-02
3,69,5,22500,2023-01-02
5,67,1,5500,2023-01-02
9,64,4,16000,2023-01-02
17,71,3,17400,2023-01-02
18,63,1,4700,2023-01-02
3,64,5,22500,2023-01-02
15,70,1,5500,2023-01-02
4,66,2,10000,2023-01-02
11,70,3,14400,2023-01-02
9,64,1,4000,2023-01-02
2,71,1,4000,2023-01-02
15,69,1,5500,2023-01-02
5,63,4,22000,2023-01-02
15,67,3,16500,2023-01-02
5,71,2,11000,2023-01-02
6,66,4,20000,2023-01-02
16,66,5,27500,2023-01-02
17,63,5,29000,2023-01-02
19,71,3,14400,2023-01-02
8,63,3,9000,2023-01-02
13,62,3,16500,2023-01-02
16,69,4,22000,2023-01-02
1,70,5,15000,2023-01-02
11,70,5,24000,2023-01-02
10,65,3,13500,2023-01-02
6,68,5,25000,2023-01-02
11,71,1,4800,2023-01-02
19,68,2,9600,2023-01-02
10,66,2,9000,2023-01-02
4,63,5,25000,2023-01-02
12,68,2,10400,2023-01-02
13,62,1,5500,2023-01-02
17,69,2,11600,2023-01-02
13,64,3,16500,2023-01-02
7,71,1,4500,2023-01-02
2,66,5,20000,2023-01-02
4,65,4,20000,2023-01-02
18,65,3,14100,2023-01-02
17,67,1,5800,2023-01-02
10,67,1,4500,2023-01-02
18,63,5,23500,2023-01-02
12,65,3,15600,2023-01-02
3,65,5,22500,2023-01-02
12,68,5,26000,2023-01-02
11,62,3,14400,2023-01-02
11,71,2,9600,2023-01-02
2,63,5,20000,2023-01-02
4,62,3,15000,2023-01-02
13,70,5,27500,2023-01-02
11,65,2,9600,2023-01-02
15,65,3,16500,2023-01-02
3,62,4,18000,2023-01-02
15,66,3,16500,2023-01-02
20,67,3,13500,2023-01-02
5,64,3,16500,2023-01-02
1,71,4,12000,2023-01-02
6,63,5,25000,2023-01-02
3,62,1,4500,2023-01-02
12,63,4,20800,2023-01-02
16,69,4,22000,2023-01-02
14,70,1,5000,2023-01-02
8,63,4,12000,2023-01-02
7,64,5,22500,2023-01-02
12,66,4,20800,2023-01-02
3,65,1,4500,2023-01-02
14,68,1,5000,2023-01-02
12,65,4,20800,2023-01-02
9,67,1,4000,2023-01-02
2,69,3,12000,2023-01-02
13,62,5,27500,2023-01-02
18,63,3,14100,2023-01-02
13,70,1,5500,2023-01-02
6,70,3,15000,2023-01-02
19,69,1,4800,2023-01-02
17,70,4,23200,2023-01-02
20,62,2,9000,2023-01-02
8,63,4,12000,2023-01-02
1,63,1,3000,2023-01-02
1,70,5,15000,2023-01-02
1,65,2,6000,2023-01-02
7,63,2,9000,2023-01-02
14,71,2,10000,2023-01-02
15,63,2,11000,2023-01-02
12,62,3,15600,2023-01-02
3,67,1,4500,2023-01-02
6,70,1,5000,2023-01-02
18,69,2,9400,2023-01-02
20,68,3,13500,2023-01-02
20,65,2,9000,2023-01-02
3,70,4,18000,2023-01-02
10,63,4,18000,2023-01-02
12,70,5,26000,2023-01-02
19,71,3,14400,2023-01-02
14,65,5,25000,2023-01-02
8,68,5,15000,2023-01-02
19,63,2,9600,2023-01-02
19,67,5,24000,2023-01-02
9,64,4,16000,2023-01-02
10,64,3,13500,2023-01-02
15,62,4,22000,2023-01-02
17,66,2,11600,2023-01-02
20,66,4,18000,2023-01-02
12,65,4,20800,2023-01-02
18,62,3,14100,2023-01-02
9,65,2,8000,2023-01-02
2,65,2,8000,2023-01-02
15,63,4,22000,2023-01-02
6,68,2,10000,2023-01-02
19,64,2,9600,2023-01-02
12,64,5,26000,2023-01-02
18,69,5,23500,2023-01-02
15,62,3,16500,2023-01-02
8,65,2,6000,2023-01-02
12,63,5,26000,2023-01-02
5,67,5,27500,2023-01-02
9,67,4,16000,2023-01-02
15,69,1,5500,2023-01-02
20,63,1,4500,2023-01-02
2,64,5,20000,2023-01-02
5,62,4,22000,2023-01-02
4,68,3,15000,2023-01-02
10,64,2,9000,2023-01-02
10,70,1,4500,2023-01-02
5,65,3,16500,2023-01-02
12,62,1,5200,2023-01-02
20,70,3,13500,2023-01-02
5,66,4,22000,2023-01-02
5,62,1,5500,2023-01-02
12,69,4,20800,2023-01-02
15,67,4,22000,2023-01-02
20,63,2,9000,2023-01-02
9,66,4,16000,2023-01-02
1,68,3,9000,2023-01-02
6,66,5,25000,2023-01-02
5,62,1,5500,2023-01-02
19,71,4,19200,2023-01-02
18,69,3,14100,2023-01-02
11,63,1,4800,2023-01-02
18,70,3,14100,2023-01-02
18,68,4,18800,2023-01-02
6,65,5,25000,2023-01-02
20,63,2,9000,2023-01-02
8,63,5,15000,2023-01-02
1,68,5,15000,2023-01-02
6,66,2,10000,2023-01-02
1,68,2,6000,2023-01-02
11,71,2,9600,2023-01-02
18,62,2,9400,2023-01-02
8,69,1,3000,2023-01-02
12,69,1,5200,2023-01-02
14,65,1,5000,2023-01-02
1,64,5,15000,2023-01-02
16,66,1,5500,2023-01-02
2,63,1,4000,2023-01-02
1,70,1,3000,2023-01-02
16,70,5,27500,2023-01-02
13,70,3,16500,2023-01-02
4,63,5,25000,2023-01-02
6,65,3,15000,2023-01-02
6,63,2,10000,2023-01-02
13,70,3,16500,2023-01-02
13,62,1,5500,2023-01-02
15,62,4,22000,2023-01-02
7,66,3,13500,2023-01-02
1,62,1,3000,2023-01-02
3,67,2,9000,2023-01-02
11,64,2,9600,2023-01-02
2,70,3,12000,2023-01-02
8,63,4,12000,2023-01-02
12,66,2,10400,2023-01-02
16,66,4,22000,2023-01-02
4,68,2,10000,2023-01-02
12,66,3,15600,2023-01-02
16,66,4,22000,2023-01-02
15,70,4,22000,2023-01-02
11,64,4,19200,2023-01-02
13,67,3,16500,2023-01-02
2,65,5,20000,2023-01-02
20,64,2,9000,2023-01-02
4,63,2,10000,2023-01-02
17,65,2,11600,2023-01-02
11,68,4,19200,2023-01-02
10,68,5,22500,2023-01-02
7,69,1,4500,2023-01-02
10,71,4,18000,2023-01-02
20,65,1,4500,2023-01-02
12,69,5,26000,2023-01-02
10,68,5,22500,2023-01-02
9,71,1,4000,2023-01-02
15,71,2,11000,2023-01-02
10,69,1,4500,2023-01-02
5,65,2,11000,2023-01-02
19,65,4,19200,2023-01-02
7,71,1,4500,2023-01-02
18,64,4,18800,2023-01-02
10,62,2,9000,2023-01-02
5,62,3,16500,2023-01-02
12,63,1,5200,2023-01-02
17,67,5,29000,2023-01-02
15,64,4,22000,2023-01-02
7,71,1,4500,2023-01-02
14,70,1,5000,2023-01-02
2,64,5,20000,2023-01-02
18,64,2,9400,2023-01-02
7,70,1,4500,2023-01-02
11,68,4,19200,2023-01-02
14,64,4,20000,2023-01-02
6,71,5,25000,2023-01-02
14,65,5,25000,2023-01-02
1,65,3,9000,2023-01-02
9,69,1,4000,2023-01-02
6,70,4,20000,2023-01-02
13,62,4,22000,2023-01-02
2,66,4,16000,2023-01-02
8,67,2,6000,2023-01-02
3,67,4,18000,2023-01-02
3,67,2,9000,2023-01-02
12,63,1,5200,2023-01-02
3,63,4,18000,2023-01-02
8,67,4,12000,2023-01-02
4,66,5,25000,2023-01-02
15,70,2,11000,2023-01-02
16,62,4,22000,2023-01-02
8,65,3,9000,2023-01-02
16,68,4,22000,2023-01-02
19,69,5,24000,2023-01-02
20,69,4,18000,2023-01-02
1,70,5,15000,2023-01-02
20,67,2,9000,2023-01-02
8,68,1,3000,2023-01-02
16,67,4,22000,2023-01-02
2,65,1,4000,2023-01-02
18,63,1,4700,2023-01-02
2,70,1,4000,2023-01-02
1,64,4,12000,2023-01-02
4,63,3,15000,2023-01-02
11,67,4,19200,2023-01-02
5,65,2,11000,2023-01-02
12,62,2,10400,2023-01-02
6,63,5,25000,2023-01-02
3,69,2,9000,2023-01-02
14,67,3,15000,2023-01-02
16,68,4,22000,2023-01-02
14,70,5,25000,2023-01-02
2,70,5,20000,2023-01-03
1,65,1,3000,2023-01-03
14,67,5,25000,2023-01-03
20,64,3,13500,2023-01-03
9,67,1,4000,2023-01-03
13,66,2,11000,2023-01-03
8,66,2,6000,2023-01-03
4,70,4,20000,2023-01-03
13,65,2,11000,2023-01-03
6,63,4,20000,2023-01-03
19,64,5,24000,2023-01-03
19,63,2,9600,2023-01-03
2,63,5,20000,2023-01-03
15,70,3,16500,2023-01-03
9,64,5,20000,2023-01-03
9,64,4,16000,2023-01-03
1,65,4,12000,2023-01-03
7,69,1,4500,2023-01-03
5,68,4,22000,2023-01-03
20,65,4,18000,2023-01-03
6,68,2,10000,2023-01-03
5,65,5,27500,2023-01-03
3,68,3,13500,2023-01-03
14,68,5,25000,2023-01-03
5,68,2,11000,2023-01-03
6,66,2,10000,2023-01-03
7,66,1,4500,2023-01-03
13,66,2,11000,2023-01-03
18,66,5,23500,2023-01-03
18,66,5,23500,2023-01-03
4,62,3,15000,2023-01-03
17,66,4,23200,2023-01-03
4,63,4,20000,2023-01-03
16,63,3,16500,2023-01-03
9,65,5,20000,2023-01-03
6,71,5,25000,2023-01-03
10,62,1,4500,2023-01-03
17,69,1,5800,2023-01-03
9,62,2,8000,2023-01-03
16,62,2,11000,2023-01-03
18,71,4,18800,2023-01-03
8,66,4,12000,2023-01-03
11,68,2,9600,2023-01-03
8,67,1,3000,2023-01-03
15,62,4,22000,2023-01-03
13,64,5,27500,2023-01-03
12,62,5,26000,2023-01-03
8,69,1,3000,2023-01-03
11,62,5,24000,2023-01-03
19,69,3,14400,2023-01-03
17,66,4,23200,2023-01-03
8,71,4,12000,2023-01-03
11,65,3,14400,2023-01-03
7,64,4,18000,2023-01-03
19,71,5,24000,2023-01-03
5,67,2,11000,2023-01-03
6,62,1,5000,2023-01-03
9,63,2,8000,2023-01-03
3,62,4,18000,2023-01-03
4,70,1,5000,2023-01-03
18,71,5,23500,2023-01-03
4,69,2,10000,2023-01-03
13,66,4,22000,2023-01-03
2,71,1,4000,2023-01-03
8,63,1,3000,2023-01-03
8,71,1,3000,2023-01-03
18,67,4,18800,2023-01-03
20,66,4,18000,2023-01-03
19,62,5,24000,2023-01-03
3,71,1,4500,2023-01-03
12,70,2,10400,2023-01-03
13,66,4,22000,2023-01-03
11,67,3,14400,2023-01-03
13,63,2,11000,2023-01-03
15,65,3,16500,2023-01-03
18,64,4,18800,2023-01-03
13,67,3,16500,2023-01-03
5,62,3,16500,2023-01-03
19,68,5,24000,2023-01-03
7,70,5,22500,2023-01-03
15,69,2,11000,2023-01-03
16,69,1,5500,2023-01-03
12,66,3,15600,2023-01-03
1,65,3,9000,2023-01-03
10,63,3,13500,2023-01-03
10,66,3,13500,2023-01-03
2,70,5,20000,2023-01-03
9,65,4,16000,2023-01-03
10,71,2,9000,2023-01-03
12,62,1,5200,2023-01-03
2,66,1,4000,2023-01-03
20,64,3,13500,2023-01-03
5,71,4,22000,2023-01-03
15,65,4,22000,2023-01-03
10,69,3,13500,2023-01-03
5,67,5,27500,2023-01-03
8,68,5,15000,2023-01-03
10,67,4,18000,2023-01-03
13,65,1,5500,2023-01-03
7,65,5,22500,2023-01-03
14,64,5,25000,2023-01-03
16,71,4,22000,2023-01-03
4,69,2,10000,2023-01-03
18,64,4,18800,2023-01-03
19,62,3,14400,2023-01-03
13,71,5,27500,2023-01-03
4,64,5,25000,2023-01-03
4,68,1,5000,2023-01-03
1,63,4,12000,2023-01-03
17,70,4,23200,2023-01-03
13,62,1,5500,2023-01-03
6,65,4,20000,2023-01-03
16,67,4,22000,2023-01-03
11,68,1,4800,2023-01-03
16,66,1,5500,2023-01-03
20,71,2,9000,2023-01-03
3,62,5,22500,2023-01-03
6,62,3,15000,2023-01-03
13,64,5,27500,2023-01-03
19,71,3,14400,2023-01-03
14,71,3,15000,2023-01-03
5,66,4,22000,2023-01-03
17,66,2,11600,2023-01-03
5,65,2,11000,2023-01-03
4,68,2,10000,2023-01-03
3,62,1,4500,2023-01-03
4,67,1,5000,2023-01-03
14,70,4,20000,2023-01-03
4,66,4,20000,2023-01-03
10,67,4,18000,2023-01-03
7,64,4,18000,2023-01-03
14,69,2,10000,2023-01-03
16,67,2,11000,2023-01-03
13,67,4,22000,2023-01-03
9,65,3,12000,2023-01-03
20,63,2,9000,2023-01-03
11,70,5,24000,2023-01-03
4,63,1,5000,2023-01-03
7,67,2,9000,2023-01-03
11,65,5,24000,2023-01-03
10,71,4,18000,2023-01-03
14,70,5,25000,2023-01-03
18,66,3,14100,2023-01-03
5,69,1,5500,2023-01-03
19,64,1,4800,2023-01-03
12,70,5,26000,2023-01-03
9,62,2,8000,2023-01-03
4,71,1,5000,2023-01-03
7,67,1,4500,2023-01-03
17,69,5,29000,2023-01-03
2,71,3,12000,2023-01-03
9,68,1,4000,2023-01-03
17,63,2,11600,2023-01-03
1,71,5,15000,2023-01-03
5,63,1,5500,2023-01-03
2,71,2,8000,2023-01-03
16,64,5,27500,2023-01-03
7,67,4,18000,2023-01-03
15,69,4,22000,2023-01-03
10,64,3,13500,2023-01-03
17,68,5,29000,2023-01-03
20,71,4,18000,2023-01-03
14,65,5,25000,2023-01-03
15,67,4,22000,2023-01-03
14,70,2,10000,2023-01-03
17,63,1,5800,2023-01-03
3,69,4,18000,2023-01-03
1,71,4,12000,2023-01-03
3,67,4,18000,2023-01-03
18,64,5,23500,2023-01-03
19,69,4,19200,2023-01-03
10,69,4,18000,2023-01-03
9,65,5,20000,2023-01-03
8,68,1,3000,2023-01-03
15,69,2,11000,2023-01-03
10,65,4,18000,2023-01-03
2,68,3,12000,2023-01-03
